"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 28 13:24:16 GMT 2025","Sun Sep 28 13:24:18 GMT 2025","1765","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Sep 28 13:24:05 GMT 2025","Sun Sep 28 13:24:07 GMT 2025","1717","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 28 13:24:05 GMT 2025","Sun Sep 28 13:24:07 GMT 2025","1769","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 28 13:24:13 GMT 2025","Sun Sep 28 13:24:14 GMT 2025","1367","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Sep 28 13:24:07 GMT 2025","Sun Sep 28 13:24:10 GMT 2025","2905","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Sep 28 13:24:11 GMT 2025","Sun Sep 28 13:24:12 GMT 2025","1384","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Sep 28 13:24:07 GMT 2025","Sun Sep 28 13:24:09 GMT 2025","1571","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 28 13:24:13 GMT 2025","Sun Sep 28 13:24:15 GMT 2025","1978","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Sep 28 13:24:14 GMT 2025","Sun Sep 28 13:24:17 GMT 2025","2822","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Sep 28 13:24:09 GMT 2025","Sun Sep 28 13:24:11 GMT 2025","1848","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
